Disaster Number,Household Program Declared,Individual Assistance Program Declared,Public Assistance Program Declared,Hazard Mitigation Program Declared,State,Declaration Date,Fiscal Year Declared,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Declared County Area,Place Code,CountyName
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Allegany (County),99001.0,Allegany  County
1083,0,0,1,0,NY,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-08,Westchester (County),99119.0,Westchester  County
1083,0,0,1,0,NY,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-08,Richmond (County),99085.0,Richmond  County
1082,0,0,1,0,DE,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-06,New Castle (County),99003.0,New Castle  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Montgomery (County),99031.0,Montgomery  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Grant (County),99023.0,Grant  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Doddridge (County),99017.0,Doddridge  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Calhoun (County),99013.0,Calhoun  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Greenbrier (County),99025.0,Greenbrier  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Jefferson (County),99037.0,Jefferson  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Harrison (County),99033.0,Harrison  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Clay (County),99015.0,Clay  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Jackson (County),99035.0,Jackson  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Marion (County),99049.0,Marion  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Hampshire (County),99027.0,Hampshire  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Hancock (County),99029.0,Hancock  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Mingo (County),99059.0,Mingo  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Cabell (County),99011.0,Cabell  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Marshall (County),99051.0,Marshall  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Gilmer (County),99021.0,Gilmer  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Kanawha (County),99039.0,Kanawha  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Fayette (County),99019.0,Fayette  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Brooke (County),99009.0,Brooke  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Mifflin (County),99087.0,Mifflin  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Bedford (County),99009.0,Bedford  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Lehigh (County),99077.0,Lehigh  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Tucker (County),99093.0,Tucker  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Pleasants (County),99073.0,Pleasants  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Clinton (County),99035.0,Clinton  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Mineral (County),99057.0,Mineral  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Bradford (County),99015.0,Bradford  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Wood (County),99107.0,Wood  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Roane (County),99087.0,Roane  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Lincoln (County),99043.0,Lincoln  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Nicholas (County),99067.0,Nicholas  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Wetzel (County),99103.0,Wetzel  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Upshur (County),99097.0,Upshur  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Monroe (County),99063.0,Monroe  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,McDowell (County),99047.0,McDowell  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Fayette (County),99051.0,Fayette  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Greene (County),99059.0,Greene  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Lancaster (County),99071.0,Lancaster  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Allegheny (County),99003.0,Allegheny  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Dauphin (County),99043.0,Dauphin  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Indiana (County),99063.0,Indiana  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Montgomery (County),99091.0,Montgomery  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Cambria (County),99021.0,Cambria  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Chester (County),99029.0,Chester  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Preston (County),99077.0,Preston  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Randolph (County),99083.0,Randolph  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Logan (County),99045.0,Logan  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Bucks (County),99017.0,Bucks  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Mercer (County),99055.0,Mercer  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Centre (County),99027.0,Centre  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Hardy (County),99031.0,Hardy  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Montour (County),99093.0,Montour  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Tyler (County),99095.0,Tyler  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Lycoming (County),99081.0,Lycoming  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Summers (County),99089.0,Summers  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Huntingdon (County),99061.0,Huntingdon  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Carbon (County),99025.0,Carbon  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Wirt (County),99105.0,Wirt  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Delaware (County),99045.0,Delaware  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Columbia (County),99037.0,Columbia  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Blair (County),99013.0,Blair  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Putnam (County),99079.0,Putnam  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Raleigh (County),99081.0,Raleigh  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Pendleton (County),99071.0,Pendleton  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Pocahontas (County),99075.0,Pocahontas  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Monongalia (County),99061.0,Monongalia  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Monroe (County),99089.0,Monroe  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Clearfield (County),99033.0,Clearfield  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Mason (County),99053.0,Mason  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Ohio (County),99069.0,Ohio  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Fulton (County),99057.0,Fulton  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Cumberland (County),99041.0,Cumberland  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Wyoming (County),99109.0,Wyoming  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Juniata (County),99067.0,Juniata  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Webster (County),99101.0,Webster  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Lebanon (County),99075.0,Lebanon  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Wayne (County),99099.0,Wayne  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Luzerne (County),99079.0,Luzerne  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Franklin (County),99055.0,Franklin  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Morgan (County),99065.0,Morgan  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Ritchie (County),99085.0,Ritchie  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Berks (County),99011.0,Berks  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Adams (County),99001.0,Adams  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Taylor (County),99091.0,Taylor  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Lackawanna (County),99069.0,Lackawanna  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Armstrong (County),99005.0,Armstrong  County
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Lewis (County),99041.0,Lewis  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Union (County),99119.0,Union  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Philadelphia (County),99101.0,Philadelphia  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Northumberland (County),99097.0,Northumberland  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Schuylkill (County),99107.0,Schuylkill  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Sullivan (County),99113.0,Sullivan  County
1086,0,0,1,0,VA,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-11,Alexandria,1000.0,Alexandria County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Westmoreland (County),99129.0,Westmoreland  County
1086,0,0,1,0,VA,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-11,Arlington (County),99013.0,Arlington  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Snyder (County),99109.0,Snyder  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Perry (County),99099.0,Perry  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Washington (County),99125.0,Washington  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Wayne (County),99127.0,Wayne  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Somerset (County),99111.0,Somerset  County
1086,0,0,1,0,VA,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-11,Accomack (County),99001.0,Accomack  County
1086,0,0,1,0,VA,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-11,Albemarle (County),99003.0,Albemarle  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,York (County),99133.0,York  County
1085,0,0,1,0,PA,1996-01,1996,DR,Snow,BLIZZARD OF 96 ,1996-01,1996-01,2002-02,Pike (County),99103.0,Pike  County
1086,0,0,1,0,VA,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-11,Charlottesville,14968.0,Charlottesville County
1086,0,0,1,0,VA,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-11,Fairfax,26496.0,Fairfax County
